AIM-Spice Version 2019.100  (Built on Aug 27 2019)
Simulation started on Tue Nov 12 13:41:12 2019
Circuit: * A simulation of all four pixels
Analysis: Transient Analysis
Time,v(erase),v(expose),v(n211),v(nre_r1),v(nre_r2),v(out_c1),v(out_c2)
4.06000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.96495449826497e-01,1.80000000000000e+00,1.80000000000000e+00,1.77357727163543e+00,1.77283066191112e+00
4.06123101326506e-03,0.00000000000000e+00,0.00000000000000e+00,4.96494001776731e-01,1.80000000000000e+00,1.80000000000000e+00,1.77357778206536e+00,1.77283077851029e+00
4.06369303979519e-03,0.00000000000000e+00,0.00000000000000e+00,4.96491269722364e-01,1.80000000000000e+00,1.80000000000000e+00,1.77357863511116e+00,1.77283128088852e+00
4.06861709285545e-03,0.00000000000000e+00,0.00000000000000e+00,4.96486113121676e-01,1.80000000000000e+00,1.80000000000000e+00,1.77358013231479e+00,1.77283225664017e+00
4.07846519897596e-03,0.00000000000000e+00,0.00000000000000e+00,4.96475587232074e-01,1.80000000000000e+00,1.80000000000000e+00,1.77358308294841e+00,1.77283200727739e+00
4.09816141121698e-03,0.00000000000000e+00,0.00000000000000e+00,4.96449614702309e-01,1.80000000000000e+00,1.80000000000000e+00,1.77358743104619e+00,1.77283660328262e+00
4.13755383569902e-03,0.00000000000000e+00,0.00000000000000e+00,4.96393076595087e-01,1.80000000000000e+00,1.80000000000000e+00,1.77359893894618e+00,1.77284002921557e+00
4.14740194181953e-03,0.00000000000000e+00,0.00000000000000e+00,4.96378139902295e-01,1.80000000000000e+00,1.80000000000000e+00,1.77360037692933e+00,1.77284336628741e+00
4.16709815406055e-03,0.00000000000000e+00,0.00000000000000e+00,4.96347713248700e-01,1.80000000000000e+00,1.80000000000000e+00,1.77360467404446e+00,1.77284600916079e+00
4.20649057854259e-03,0.00000000000000e+00,0.00000000000000e+00,4.96284288596134e-01,1.80000000000000e+00,1.80000000000000e+00,1.77361266930907e+00,1.77285643181718e+00
4.21341182433882e-03,0.00000000000000e+00,0.00000000000000e+00,4.96272756788499e-01,1.80000000000000e+00,1.80000000000000e+00,1.77361712601404e+00,1.77285879120813e+00
4.22725431593128e-03,0.00000000000000e+00,0.00000000000000e+00,4.96249580681158e-01,1.80000000000000e+00,1.80000000000000e+00,1.77362050819395e+00,1.77286217600512e+00
4.25493929911619e-03,0.00000000000000e+00,0.00000000000000e+00,4.96202815458306e-01,1.80000000000000e+00,1.80000000000000e+00,1.77362553668069e+00,1.77286680849670e+00
4.31030926548601e-03,0.00000000000000e+00,0.00000000000000e+00,4.96109157680652e-01,1.80000000000000e+00,1.80000000000000e+00,1.77363438404642e+00,1.77287471563455e+00
4.42104919822565e-03,0.00000000000000e+00,0.00000000000000e+00,4.95921282535529e-01,1.80000000000000e+00,1.80000000000000e+00,1.77362709199604e+00,1.77287661171816e+00
4.64252906370493e-03,0.00000000000000e+00,0.00000000000000e+00,4.95544447698266e-01,1.80000000000000e+00,1.80000000000000e+00,1.77365140164761e+00,1.77287784498841e+00
